factor_code,labor_hours,description
100,0.0408,"1/2 LATERAL FIT 45%"
101,0.0336,"1/2 LATERAL FIT 35%"
102,0.02,"1/2 SLEEVE FIT 15%"
110,0.0428,"3/4 LATERAL FIT 45%"
111,0.036,"3/4 LATERAL FIT 35%"
112,0.04,"3/4 MAIN FIT 35%"
113,0.033,"3/4 MAIN FIT 25%"
114,0.01,"3/4 SLEEVE FIT 15%"
114.1,0.033,"3/4"" SLEEVE WITH TRENCHING"
120,0.0438,"1 LATERAL FIT 45%"
121,0.0366,"1 LATERAL FIT 35%"
122,0.04,"1 MAIN FIT 35%"
123,0.04,"1 MAIN FIT 25%"
124,0.03,"1 SLEEVE FIT 15%"
124.1,0.033,"1"" SLEEVE W/ FITTINGS, TRENCH"
125,0.033,"3/4"" ELECT. CONDUIT"
126,0.033,"1"" ELECT. CONDUIT"
127,0.036,"1 1/4"" ELECT. CONDUIT"
128,0.036,"1 1/2"" ELECT. CONDUIT"
129,0.038,"2"" ELECT. CONDUIT"
130,0.0458,"1 1/4 LATERAL FIT 45%"
131,0.04,"1.25"" LATERAL FIT 35%"
132,0.04,"1.25 MAIN FIT 35%"
133,0.04,"1.25 MAIN FIT 25%"
134,0.03,"1.25 SLEEVE FIT 15%"
134.1,0.04,"1.25"" SLV WITH TRENCHING"
135,0.038,"2 1/2"" ELECT. CONDUIT"
136,0.042,"3"" ELECT. CONDUIT"
137,0.042,"4"" ELECT. CONDUIT"
140,0.0468,1 1/2 LATERAL FIT 45%"
141,0.0396,1 1/2 LATERAL FIT 35%"
142,0.045,"1.5"" MAIN FIT 35%"
143,0.045,1 1/2 MAIN FIT 25%"
144,0.03,1 1/2 SLEEVE FIT"
144.1,0.045,1 1/2' SLEEVE WITH TRENCHING"
150,0.0468,2 LATERAL FIT 45%"
151,0.0396,2 LATERAL FIT 35%"
152,0.04,2 MAIN FIT 35%"
153,0.04,2 MAIN FIT 25%
153.1,0.036,"2"" HDPE FITTING"
154,0.04,2 SLEEVE FIT 15%
154.1,0.06,"2"" SLEEVE WITH TRENCHING/ SAND"
160,0.0478,2 1/2 LATERAL FIT 45%
161,0.0406,2 1/2 LATERAL FIT 35%
162,0.038,"2.5"" MAIN FIT 35%"
163,0.038,2 1/2 MAIN FIT 25%
164,0.03,2 1/2 SLEEVE FIT 15%
164.1,0.06,"2 1/2"" SLEEVE WITH TRENCHING"
170,0.042,3 MAIN FIT 35%
171,0.042,3 MAIN FIT 25%
171.1,0.042,"3"" HDPE FITTINGS"
172,0.04,3 SLEEVE FIT 15%
172.1,0.06,"3"" SLEEVE WITH TRENCHING/SAND"
180,0.05,4 MAIN FIT 35%
181,0.05,4 MAIN FIT 25%
182,0.04,4 SLEEVE FIT 15%
182.1,0.07,"4"" SLEEVE WITH TRENCH/ SAND"
185,0.04,"6 SLEEVE FIT , 15%"
185.1,0.07,"6"" SLEEVE WITH TRENCH/ SAND"
186,0.07,"6"" CL 200 RT ALERT (MAIN)"
186.1,0.06,"8"" CL 200 PVC (SLEEVE)"
186.2,0.08,"8"" SLEEVE WITH TRENCH/SAND"
187,0.05,"12"" CL 200 PVC (SLEEVE)"
187.1,0.076,"12"" & 10"" SLEEVE WITH TRENCHING"
187.2,0.03,"8"" SLEEVE WITH TRENCH/SAND"
190,0.046,3 GALV FIT 35%
191,0.08,"3"" GALV w/VIT"
192,0.049,"4"" GALV FIT 35%"
193,0.049,"6""GALV FIT 35%"
194,0.1,"8"" CL 200 RT ALERT (MAIN)"
200,0.013,1/2 BROWNLINE FIT 25%
200.1,0.013,1/2 BLINE FIT 25% VIT
201,0.015,3/4 BROWNLINE FIT 25%
201.1,0.015,3/4 BLINE FIT 25% VIT
202,0.016,1 BROWNLINE FIT 25%
202.1,0.016,1 BLINE FIT 25% VIT
203,0.018,1 1/4 BROWNLINE FIT 25%
203.1,0.018,1 1/4 BLINE FIT 25% VIT
204,0.019,"1.5"" BROWNLINE FIT 25%"
204.1,0.019,1 1/2 BLINE FIT 25% VIT
205,0.019,2 BROWNLINE FIT 25%
205.1,0.019,2 BLINE FIT 25% VIT
206,0.02,2 1/2 BROWNLINE FIT 25%
206.1,0.022,"2 .5"" BLINE 25% FIT VIT"
207,0.023,3 BROWNLINE FIT 25%
207.1,0.023,3 BLINE FIT 25% VIT
207.2,0.5,"BL TREE DRIP LAYOUT 24"" BOX"
207.3,0.7,"BL TREE DRIP LAYOUT 36"" BOX"
208,0.038,"2""  GRAY CONDUIT"
209,0.038,"2.5"" GRAY CONDUIT"
210,0.12,RB P/U PL HEAD FIT
210.1,0.12,RB P/U PL HEAD FIT
210.2,0.12,HUNTER INST-12-CV
210.3,0.12,HUNTER  SHRUB
210.4,0.18,HUNTER SHRUB ON GR
210.5,0.12,RB P/U PL W/HUNTER SJ-506
210.6,0.12,RB P/U PL W/ HUNTER SJ 512
212,0.12,"ROSE HILLS 1/2"" PVC 80 SWING"
213,0.12,HUNTER INST-06-CV
214,0.12,"6"" - 12' POP-UP WO/NOZ"
220,0.12,RB SHRUB PL HEAD FIT
220.1,0.12,"RB SHRUB,PL,BUR,REBAR"
220.2,0.12,"RB SHRUB,PL,BUR,GALV STK"
220.3,0.12,"RB SHRUB,BUR,REBAR/VIT"
220.4,0.12,"RB SHRUB W/HUNTERSJ 512 1/2"" X 12"""
221,0.12,RB SHRUB BR STD HEAD FIT
222,0.12,RB SHRUB BR SS HEAD FIT
223,0.18,RB SHRUB PL HEAD  ON GRAD
