PartNum,Conversion Code
0001-011,1040-160
0001-011,LINER
0001-015,ELEO1
0001-016,LINER
0001-017,LINER
0001-018,LINER
0001-019,LINER
0001-020,LINER
0001-021,LINER
0001-022,LINER
0001-023,LINER
0001-4,VALCON
0001-500,PLUG
0001-501,ANEM1
0001-601,ARTE1
0001-614,COLOR
0001-701,ARTE1
0001-701,ARTE
0001-801,ARTE
0001-801,ARTE1
0001-901,ARTE1
0002-10,SWING
0002-20,SWING
0002-41,IRRBID
0002-41,FITTING
0002-42,IRRBID
0002-42,FITTING
0002-43,FITTING
0002-43,IRRBID
0002-44,FITTING
0002-44,IRRBID
0002-45,FITTING
0002-45,IRRBID
0002-46,FITTING
0003-415,ARAU15
0004-1,SUPERIOR
0004-105,ARAL5
0004-115,ARAL15
0007-1,SLV
0007-1,PP80
0008-1,PP80
0009-1,PP80
001-012,LEYM1
001-013,LINER
001-014,LEYM1
001-015,LINER
0015-115,CERC15
0015-15,SAMB15
0015-20,SAMB15
0042-1,GFIT
0043-1,GFIT
0044-1,GFIT
0049-1,LAVA1
0049-2,LAVA5
0049-21,LAVA5
0049-25,LAVA5
0049-3,LAVA5
0049-5,LAVA5
0054-505,ANEM5
0054-515,AMPE15
0100-502,ARCT2
0101-501,CYRT1
0101-501,CV
0101-504,GC
0101-505,CYRT5
0101-605,CYRT5
0102-001,CUPH1
0102-005,CUPH5
0102-005,CUPH5
0102-101,CUPH1
0102-105,CUPH5
0102-201,CUPH1
0102-205,CUPH5
0102-301,CUPH1
0102-305,CUPH5
0102-401,CUPH1
0102-501,CUPH1
0102-503,CUPH1
0102-504,CUPH5
0102-504,CUPH
0102-505,CUPH5
0102-505,CUPH5
0102-601,CUPH1
0102-605,CUPH5
0102-701,CUPH1
0102-705,CUPH5
0102-801,CUPH1
0103-501,ANTH1
0103-516,LINER
0103-516,D-40
0104-101,ANTH1
0104-105,ANTH5
0104-201,ANTH1
0104-301,LSBID
0104-301,ANTI1
0104-305,ANTI5
0104-401,HELI1
0104-404,LINER
0104-405,HELI1
0104-501,HELI1
0104-504,LINER
0104-505,HELI5
0104-601,HELI1
0104-605,HELI5
0104-701,HELI1
0104-705,HELI5
0104-801,HELI1
0104-805,HELI5
0104-905,HELI5
0105-501,STIP1
0106-101,TULB1
0106-401,TULB1
0106-501,TULB1
0106-505,TULB5
0106-515,TULB
0106-515,TULB15
0106-515,TULB
0106-601,TULB1
0106-605,TULB5
0106-705,TULB5
0106-805,TULB5
0107-501,ROSM1
0107-505,TULB5
0107-605,TULB5
0112-005,ABEL5
0112-105,ABEL5
0112-215,ABEL15
0112-315,ABEL15
0112-405,ABEL5
0112-501,ABEL
0112-501,ABEL1
0112-505,ABEL5
0112-515,ABEL15
0112-515,ABEL
0112-601,ABEL1
0112-605,ABEL5
0112-615,ABEL15
0112-705,ABEL5
0112-805,ABEL5
0113-105,ABEL5
0113-205,ABEL5
0113-501,ABEL1
0113-501,ABEL
0113-502,ABEL5
0113-502,ABEL
0113-601,ABEL1
0200-501,ACAC1
0200-505,ACAC5
0200-601,ACAC1
0200-905,ACAC5
0201-001,GC
0201-105,ACAC5
0201-124,ACAC24
0201-148,ACAC48
0201-205,ACAC5
0201-215,ACAC15
0201-224,ACAC24
0201-236,ACAC36
0201-248,ACAC48
0201-305,ACAC5
0201-324,ACAC24
0201-336,ACAC36
0201-401,ACAC1
0201-405,ACAC5
0201-415,ACAC15
0201-424,ACAC24
0201-436,ACAC36
0201-501,ACAC1
0201-505,ACAC5
0201-515,ACAC15
0201-516,ACAC15
0201-517,ACAC5
0201-524,ACAC24
0201-536,ACAC36
0201-605,ACAC5
0201-615,ACAC15
0201-624,ACAC24
0201-636,ACAC36
0201-701,ACAC1
0201-705,ACAC5
0201-715,ACAC15
0201-724,ACAC24
0201-736,ACAC36
0201-801,ACAC1
0201-805,ACAC5
0201-815,ACAC15
0201-824,ACAC24
0201-836,ACAC36
0201-905,ACAC5
0201-915,ACAC15
0201-924,ACAC24
0201-936,ACAC36
0202-036,ACAC36
0202-101,ACAC1
0202-124,ACAC24
0202-136,ACAC36
0202-224,ACAC24
0202-236,ACAC36
0202-324,ACAC24
0202-336,ACAC36
0202-424,ACAC24
0202-501,LINER
0202-601,ACAC1
0203-201,ADIA1
0203-501,ACAC1
0203-505,ACAC5
0203-515,ACAC15
0203-555,ADEN5
0204-001,BULB1
0204-005,BULB5
0204-101,BULB1
0204-105,BULB5
0204-201,BULB1
0204-205,BULB5
0204-301,BULB1
0204-305,BULB5
0204-401,BULB1
0205-015,ACAN15
0205-501,ACAN1
0205-505,ACAN5
0205-515,ACAN15
0207-001,ACHI1
0210-115,ACER15
0210-124,ACER24
0210-125,ACER24
0210-136,ACER36
0210-148,ACER48
0210-215,ACER15
0210-224,ACER24
0210-236,ACER36
0210-315,ACER15
0210-324,ACER24
0210-415,ACER15
0210-424,ACER24
0210-515,ACER15
0210-524,ACER24
0220-105,ADEN5
0220-136,ACOE36
0221-101,ACOR1
0240-101,AGAP1
0240-201,AGAP1
0240-205,AGAP5
0240-301,AGAP1
0240-305,AGAP5
0240-401,AGAP1
0240-405,AGAP5
0240-501,AGAP1
0240-505,AGAP5
0240-515,AGAP15
0240-525,AGAP15
0240-601,AGAP1
0240-605,AGAP5
0240-705,AGAP5
0240-801,AGAP1
0241-005,AGAP5
0241-105,AGAP5
0241-205,AGAP5
0241-501,AGAP1
0241-505,AGAP5
0241-515,AGAP5
0241-601,AGAP1
0242-501,AGAP1
0242-505,AGAP5
0242-601,AGAP1
0243-501,AGAP1
0243-505,AGAP5
0244-199,LOBE1
0244-201,LOBE1
0244-301,LOBE1
0244-401,AGAP1
0244-501,AGAP1
0244-505,AGAP5
0244-601,AGAP1
0244-701,AGAP1
0244-705,AGAP5
0244-801,AGAP1
0244-805,AGAP5
0245-501,AGAP1
0245-505,AGAP5
0246-101,AGAS1
0270-115,AGON15
0270-124,AGON24
0270-136,AGON36
0270-160,AGON60
0270-215,AGON15
0270-224,AGON24
0270-236,AGON36
0270-248,AGON48
0270-260,AGON60
0270-315,AGON15
0270-324,AGON24
0270-336,AGON36
0270-348,AGON48
0270-424,AGON24
0271-748,ACAC48
0300-101,ALBI15
0300-115,ALBI15
0300-124,ALBI24
0300-136,ALBI36
0300-148,ALBI48
0300-160,ALBI60
0300-215,ALBI15
0300-224,ALBI24
0300-230,ALBI30
0300-236,ALBI36
0300-248,ALBI48
0301-124,PYRT24
0316-101,ALNU1
0318-105,ALNU5
0318-115,ALNU15
0318-124,ALNU24
0318-125,ALNU24
0318-130,ALNU30
0318-136,ALNU36
0318-148,ALNU48
0318-160,ALNU60
0318-215,ALNU15
0318-224,ALNU24
0318-236,ALNU36
0318-248,ALNU48
0318-315,ALNU15
0319-001,ALOE1
0319-005,ALOE5
0319-015,ALOE15
0319-101,ALOE1
0319-105,ALOE5
0319-115,ALOE15
0319-124,ALOE24
0319-136,ALOE1
0319-148,ALOE1
0319-201,ALOE1
0319-202,ALOE1
0319-203,ALOY1
0319-205,ALOE5
0319-215,ALOE15
0319-224,ALOE24
0319-301,ALOE1
0319-305,ALOE5
0319-315,ALOE15
0319-324,ALOE24
0319-401,ALOE1
0319-405,ALOE5
0319-415,ALOE15
0319-424,ALOE24
0319-501,ALOE1
0319-505,ALOE5
0319-506,ALOE5
0319-507,ALOE5
0319-508,ALOE1
0319-515,ALOE15
0319-524,ALOE24
0319-555,ALOE5
0319-601,ALOE1
0319-605,ALOE5
0319-612,GC
0319-615,ALOE15
0319-624,ALOE24
0319-661,ALOE1
0319-701,ALOE1
0319-703,ALOE5
0319-704,LINER
0319-705,ALOE5
0319-715,ALOE15
0319-724,ALOE24
0319-801,ALOE1
0319-805,ALOE5
0319-815,ALOE15
0319-824,ALOE24
0319-901,ALOE1
0319-905,ALOE5
0319-915,ALOE15
0320-130,ALOE36
0320-136,ALOE36
0320-148,ALOE48
0320-172,ALOE72
0320-236,ALOE36
0320-605,ALPI5
0320-715,ALPI15
0322-005,DASY5
0322-115,DASY15
0322-215,DASY15
0322-315,DASY15
0325-224,LAGE24
0326-024,LAGE24
0326-105,LAGE5
0326-115,LAGE15
0326-124,LAGE24
0326-215,LAGE15
0326-224,LAGE24
0326-315,LAGE15
0326-324,LAGE24
0326-415,LAGE15
0326-424,LAGE24
0326-515,LAGE15
0326-524,LAGE24
0326-615,LAGE15
0326-624,LAGE24
0326-724,LAGE24
0326-824,LAGE24
0326-836,LAGE36
0326-924,LAGE24
0328-124,CORD36
0328-224,LAGE24
0329-724,LAGE24
0329-824,LAGE24
0329-924,LAGE24
0340-101,ALST5
0340-105,ALST5
0340-205,ALST5
0340-415,ALYO15
0340-501,ALYO1
0340-505,ALYO5
0340-515,ALYO15
0340-524,ALYO24
0340-605,ALYO5
0340-615,ALYO15
0341-005,AZAL5
0341-105,AZAL5
0341-205,AZAL5
0341-505,ALYO5
0341-615,AZAL5
0342-105,CEAS5
0350-505,CYAT
0350-515,SPHA15
0350-515,CYAT15
0350-515,CYAT
0350-515,ALSO15
0350-624,CYAT
0351-505,ALSO15
0351-505,CYAT
0351-505,SPHA15
0351-505,CYAT15
0370-101,ARBU1
0370-105,ARBU5
0370-115,ARBU15
0370-124,ARBU24
0370-136,ARBU36
0370-160,ARBU60
0370-215,ARBU15
0370-224,ARBU24
0370-236,ARBU36
0370-248,ARBU48
0370-260,ARBU60
0370-315,ARBU15
