factor_code,part_number,quantity
1005,45,0.1
1005.1,45,0.2
395,20-1020,3.0
380,12-01,3.0
380.1,12-01,3.0
380.2,12-01,3.0
380.4,12-01,3.0
380.6,12-01,3.0
380.7,12-01,3.0
638.1,12-01,8.0
471,12-01,5.0
230,10-01,1.0
240.1,10-01,1.0
241,10-01,1.0
241.1,10-01,1.0
242,10-01,1.0
470,10-01,1.0
471,10-01,1.0
210,10-01,1.0
210.1,10-01,1.0
210.5,10-01,1.0
210.6,10-01,1.0
212,10-01,1.0
220,10-01,1.0
220.1,10-01,1.0
220.2,10-01,1.0
220.3,10-01,1.0
220.4,10-01,1.0
223,10-01,1.0
223.1,10-01,1.0
223.2,10-01,1.0
223.3,10-01,1.0
223.5,10-01,1.0
223.6,10-01,1.0
221,10-01,1.0
222,10-01,1.0
230,11-01,1.0
240.1,11-01,1.0
241,11-01,1.0
241.1,11-01,1.0
242,11-01,1.0
451,1497831,20.0
210,0002-10,1.0
210.3,0002-10,1.0
213,0002-10,1.0
214,0002-10,1.0
220,0002-10,1.0
220.1,0002-10,1.0
220.2,0002-10,1.0
220.3,0002-10,1.0
221,0002-10,1.0
222,0002-10,1.0
230,0002-10,1.0
240,0002-10,1.0
240.1,0002-10,1.0
250.1,0002-10,1.0
251,0002-10,1.0
360,0002-10,1.0
371,0002-10,1.0
371.2,0002-10,1.0
371.4,0002-10,1.0
371.5,0002-10,1.0
371.6,0002-10,1.0
210.1,0002-20,1.0
210.2,0002-20,1.0
370.1,0002-20,1.0
370.7,0002-20,1.0
370,0002-40,1.0
370.8,0002-40,1.0
370.91,0002-45,1.0
225,0002-46,1.0
1002,0042-1,0.1
1002.1,0042-1,0.2
1003,0043-1,0.1
1003.1,0043-1,0.2
1004,0044-1,0.1
1004.1,0044-1,0.2
402.4,050-060,1.0
638.9,050-060UV,1.0
535,0519-100,2.5e-05
535.1,0519-100,2.5e-05
394,075-2300,1.0
637.5,100-201,9.0
210,10-1173,1.0
210.1,10-1173,1.0
210.2,10-1173,1.0
210.3,10-1173,1.0
210.4,10-1173,1.0
212,10-1173,1.0
213,10-1173,1.0
214,10-1173,1.0
220,10-1173,1.0
220.1,10-1173,1.0
220.2,10-1173,1.0
220.3,10-1173,1.0
221,10-1173,1.0
222,10-1173,1.0
223,10-1173,1.0
223.1,10-1173,1.0
223.2,10-1173,1.0
223.3,10-1173,1.0
223.5,10-1173,1.0
223.6,10-1173,1.0
371.3,11-1080,0.0
371.6,11-1080,0.0
371.3,11-1260,0.0
371.6,11-1260,0.0
371,11-1440,1.0
371.1,11-1440,1.0
371.5,11-1440,1.0
371,11-1660,1.0
371.1,11-1660,1.0
371.5,11-1660,1.0
548,12-1440,21.0
207.2,12-1560,10.0
207.3,12-1560,15.0
380.3,12-1560,50.0
390.1,125-180,2.0
391.1,125-180BS,2.0
380.3,13-1020,120.0
482,13-1166,10.0
638.1,13-1172,20.0
292,13-1420,1.0
290,13-1440,1.0
291,13-1440,1.0
330,13-1440,1.0
280,13-1460,1.0
320,13-1460,1.0
270,13-1480,1.0
270.1,13-1480,1.0
310,13-1480,1.0
260,13-1500,1.0
261,13-1500,1.0
300,13-1500,1.0
259,13-1505,1.0
450,13-1540,1.0
259.1,13-1602,1.0
259.1,13-1603,2.0
259.1,13-1604,3.0
403,13-1604,2.0
207.2,13240-215,1.0
402.3,1324-144,1.0
402.7,1324-144,1.0
402.3,1324-146,0.0
