factor_code,part_number,quantity
factor_code,part_number,quantity
545,33-13025,0.05
213,10-1173,1.0
210.2,10-1173,1.0
210.3,10-1173,1.0
210.4,10-1173,1.0
261,13-1500,1.0
270.1,13-1480,1.0
535.1,9302-265,3e-05
535,9302-222,7e-06
535.1,9302-222,7e-06
617,40-1880,1.0
402.3,40-1421,1.0
402.3,33-13025,0.01
402.3,1324-144,1.0
214,10-1173,1.0
214,0002-10,1.0
214,32-1056,1.0
190,33-1120,0.1
462,95-0009,1.0
605.1,40-1561,1.0
605.1,40-1620,1.0
610.1,40-1581,1.0
610.1,40-1620,1.0
545,33-1304,1.0
545.2,33-1302,0.25
545.2,33-1304,3.0
545.3,33-13025,0.12
545.3,33-1304,1.5
639.2,33-1316,6.0
603,33-13025,1.0
603,33-1304,100.0
402.3,1324-146,0.0
631.2,9301-100,1.0
631.2,40-4057,0.2
631.3,9301-100,1.0
639.5,30-2726,0.2
615,40-1620,1.0
701,32-1004,1.0
701,437-166,4.0
701,9301-210,0.06
550,33-1280,0.1
551,33-1280,0.1
210.1,0002-20,1.0
210.1,10-5440,1.0
210.1,10-1173,1.0
514.2,9302-240,4.0
514.2,9300-100,0.02
514.2,33-1720,0.0044
514.2,33-1160,0.0044
514.2,33-1180,2.0
514.2,9302-260,1.0
513.1,9302-240,4.0
513.1,9300-100,0.01
513.1,33-1720,0.0044
513.1,33-1160,0.0044
513.1,33-1180,2.0
513.1,9300-101,2.0
652,9301-210,0.12
652,33-2605,2.0
450,9300-160,4.0
450,13-1540,1.0
552,33-1280,0.05
350,33-2380,2.0
350,33-1140,1.0
350,30-2520,1.0
350,30-2600,1.0
210.2,0002-20,1.0
210.2,22-1087,1.0
513.2,9302-240,4.0
513.2,9300-100,0.01
513.2,33-1720,0.0044
513.2,33-1160,0.0044
513.2,33-1180,1.0
513.2,9300-101,1.0
512.1,9302-240,6.0
512.1,9300-100,0.05
512.1,33-1720,0.01
512.1,33-1160,0.01
512.1,9302-250,2.0
512.1,9302-245,2.0
451,9300-220,3.0
511.1,9302-240,6.0
511.1,9300-100,0.05
511.1,33-1720,0.01
