name,addr1,addr2,city,state,zip,Phone,Fax,email,contact
"LIGHTNING ARROW, INC.",15642 DUPONT AVE.,,CHINO,CA,91710-7600,(909) 393-9595,(909) 393-1904,,
GOLDEN STATE FENCE CO.,2861 LA CRESTA AVENUE,,ANAHEIM,CA,92806,(714) 238-0091,(714) 238-0096,,
MOUNTAIN STATES WHLSE NURSERY,P.O. BOX 2500,,LITCHFIELD,AZ,85340-2500,(623) 247-8509,(623) 247-6354,,(JULIE)
RIVER RANCH RECYCLING,14545 RIVER ROAD,,CORONA,CA,91720,(909) 738-8294,(909) 738-8297,,JOANE
MONROVIA NSY,,,,,,(800) 449-9321,(559) 564-5820,,DAVE
HILLCREST CONSTRUCTION CO,4842 SCHOOL STREET,,YORBA LINDA,CA,92686,(714) 777-1072,(714) 777-0721,jerry@test.com,RANDY MCDANIEL
PACIFIC BELL 9492629623,PAYMENT CENTER,,VAN NUYS,CA,91388-0001,(800) 750-2355,,,
SUNNY SLOPE TREES,"4025 E. LA PALMA AVE., #203",,ANAHEIM,CA,92807-1716,(714) 632-5550,(714) 632-6660,,MARK 714 412 2466
AJJ ASSOCIATES,355 N. LANTANA ST.,SUITE 560,CAMARILLO,CA,93010-9030,(949) 951-8850,,,(949)9169174  FAX
DURLING NURSERY *,40401 DELUZ ROAD,,FALLBROOK,CA,92028-8553,(760) 728-9572,(760) 728-5835,,JULIE
"FOSTER'S GARDENS, INC.",17671 CASSIA TREE LANE,,IRVINE,CA,92612,(949) 631-6340,,,
QUICK CRETE PRODUCTS CORP *,PO BOX 639,,NORCO,CA,92860-0639,(951) 737-6240,(951) 549-1143,,ANGIE - (951)734-8154 FAX
NITAO NURSERY,2333 E. TAFT AVENUE,,ORANGE,CA,92867,(714) 974-0140,(714) 974-9061,,(KEN)
GANAHL LUMBER CO.,P.O. BOX 31,,ANAHEIM,CA,92815-0031,(714) 772-5444,,,
CALIFORNIA CACTUS,216 S. ROSEMEAD BLVD.,,PASADENA,CA,91107,(626) 795-2788,(626) 795-1908,,MOLY (626)712 9008
COASTLINE CURBING INC.,9092 JURUPA ROAD,,RIVERSIDE,CA,92509-3106,(951) 360-8160,(951) 360-1230,,shanna/jeff 951 757-7234 CELL
CALIFORNIA FENCE CONCEPTS,2618 S. ORANGE BLDG  #A,,SANTA ANA,CA,92707,(714) 549-4966,,,
"SCHORR METALS, INC.",837 S. KRAEMER BLVD.,,PLACENTIA,CA,92870-6501,(714) 630-1962,(714) 666-8118,,LINDA
PACIFIC SOD *,DEPARTMENT 1489,,LOS ANGELES,CA,90084-1489,(800) 942-5296,(805) 986-5210,,TERRY
POWERTRON BATTERY CO.,2216 W. SECOND STREET,,SANTA ANA,CA,92703,(714) 543-4858,(714) 543-9211,,
SUBURBAN PROPANE,535 S. MELROSE AVENUE,,PLACENTIA,CA,92670-6305,(714) 993-9400,(714) 572-9556,,(GEORGIA A/R) ALICIA
AY NURSERY,P.O. BOX 2025,,SOUTH GATE,CA,90280,(951) 780-2444,(951) 780-3050,,SALVADOR
PELTZER NURSERY,3950 MIRALOMA AVE.,,ANAHEIM,CA,92806,(   )    -,,,
MCFADDEN-DALE HARDWARE CO,2925 EAST LA PALMA AVE.,,ANAHEIM,CA,92806-2617,(714) 630-6390,(714) 630-7615,,NANCY
EWING IRRIGATION PRODUCTS *,302 E. STEVENS AVE.,,SANTA ANA,CA,92707,(714) 447-9530,(714) 447-9160,,JOSE
VALLEY BUILDING MATERIALS,23271 CHERRY AVE,,LAKE FOREST,CA,92630-5331,(949) 855-9994,(949) 855-2063,,(TERESA 949-598-0256)
VISTA WHOLESALE NURSERY,2000 JEFFERSON STREET,,RIVERSIDE,CA,92504-5432,(951) 343-5995,(951) 343-5998,,MIKE 951 830 0795
PETERSON BROTHERS CONSTRUCTION,1560 W. LAMBERT ROAD,,BREA,CA,92821,(714) 278-0488,(714) 989-2291,,GUILLERMI (714) 989-2291 FAX #
WHITE CAP INDUSTRIES,PO BOX 1770,,COSTA MESA,CA,92628,(714) 258-3300,(866) 964-5859,,ROB DAW
"EQUIPMENT DIRECT, INC.",P.O. BOX 670,,YORBA LINDA,CA,92885,(800) 424-4410,(800) 842-2412,,(BERNIDINE)
SULLIVAN AND MANN LUMBER,1250 W. TRENTON,,ORANGE,CA,92667,(714) 665-2460,(714) 665-2457,,MATT 714 328 5555
RECYCLED WOOD PRODUCTS,1313 E. PHILLIPS BLVD,,POMONA,CA,91766,(909) 868-6882,(909) 868-1162,,KATHY/MARIA/PATTI
"DAVE BANG ASSOCIATES, INC",P.O. BOX 1088,,TUSTIN,CA,92681,(800) 669-2585,(800) 729-2483,,
ORANGE COUNTY FARM SUPPLY *,1826 WEST CHAPMAN,,ORANGE,CA,92668,(714) 978-6500,,,
ORANGE COAST MASONRY,601 N. BATAVIA,,ORANGE,CA,92668,(714) 538-4386,(714) 288-0653,,
WHITTIER FERTILIZER,P.O. BOX 596,,PICO RIVERA,CA,90660,(310) 699-3461,,,
RCG COMPANY,P.O. BOX 7254,,CAPISTRANO BEAC,CA,92624,(949) 661-7408,,,
"JOHNSON'S GRAPHICS, INC.",13023 LA DANA CT.,,SANTA FE SPRING,CA,90670,(562) 941-0888,(562) 941-0887,,
LANDMARK FENCE,3964 MISSION BLVD.,,MONTCLAIR,CA,91763-5301,(909) 623-9450,(909) 623-9420,,
FERRY MORSE SEED CO.,P.O. BOX 1620,,FULTON,KY,42041-1620,(800) 626-3392,,,
B&M LAWN AND GARDEN,17672 YORBA LINDA BLVD.,,YORBA LINDA,CA,92886,(714) 996-5490,(714) 414-1127,,"(JUDY) JUSTIN, MARK-MGR"
GREENLEE NURSERY *,15993 EL PRADO ROAD,,CHINO,CA,91708,(909) 393-6544,(909) 393-6004,,
"SAKAIDA NURSERY, INC.",8626 E. GRAND AVE.,,ROSEMEAD,CA,91770-1298,(626) 285-9981,(626) 285-0879,bill@oakleaflandscape.com,(MIKE)
ALL AMERICAN ASPHALT,P.O. BOX 2229,,CORONA,CA,91718,(909) 736-7600,(909) 739-4657,,
WD YOUNG & SONS *,81-910 ARUS ST.,,INDIO,CA,92201,(760) 347-7906,(760) 342-6188,,(ELISA)
