Reason,PartNum,Description,Cost,Factor Code
Invalid factor code: 800.5,4486-116,GRASSRINGS 80SF. PER ROLL,230.0,800.5
Invalid factor code: 647.2,40-2046,NDS 2301 FABRICATED 45 ELBOW,65.0,647.2
Invalid factor code: 565.2,40-1659,BROOKS CB38 BODY W/38MB LID,180.0,565.2
Invalid factor code: 543.1,2101-111,GREENWAY'S BEST SOIL COND.,20.0,543.1
Invalid factor code: 370.5,10-1248,RB T-BIRD T-S-PC SHRUB (USE 5000SPCS),7.0,370.5
Invalid factor code: 299,32-1201,HUNTER MPRCS-515 (RT. CRNR),6.0,299
Invalid factor code: 299,32-1230,HUNTER MPLSC-515 (LT CRNR),6.0,299
Invalid factor code: 260.1,13-4012,"WATTS 909(s) BACKFLOW 2""",455.0,260.1
Invalid factor code: 258,6086-615,VIBURNUM T.SPRING BOUQ 15G ESP,95.0,258
Invalid factor code: 250,2303525,PEPCO 856-12(BLK) MED-FLO OCTABUBLR,7.0,250
Invalid factor code: 250,1826488,OLSON EH-12 EMITTER,4.88,250
Invalid factor code: 250,22-1241,HUNTER PS-O4-17AV,2.43,250
Invalid factor code: 250,22-1220,HUNTER PS-04-15F,1.55,250
Invalid factor code: 250,2303160,PEPCO QB2 (4 PORT EMITTER),2.16,250
Invalid factor code: 250,2305320,PEPCO 5633 QUADRA BUBBLER,1.9,250
Invalid factor code: 250,24-1098,HARDIE 533 FLOOD BUBBLER,0.6,250
Invalid factor code: 250,10-1226,RB 1502-SB-CST,1.75,250
Invalid factor code: 250,23-2047,NELSON 7300 BUBBLER,2.1,250
Invalid factor code: 250,2302429,PEPCO 896-12(RED) HI-FLO OCTA.,4.5,250
Invalid factor code: 250,22-1260,HUNTER PS-04-5SS,1.55,250
Invalid factor code: 250,2232638,"RB XERI-POP MICRO SPRAY XP600X  6"" PU",6.0,250
Invalid factor code: 250,22-1120,HUNTER PS-04-10A,1.55,250
Invalid factor code: 250,PEPCO,PEPCO 9633 BUBBLER,1.73,250
Invalid factor code: 250,22-1180,HUNTER PS-04-12F,1.55,250
Invalid factor code: 250,24-1160,HYDRORAIN 610 BUBBLER,1.35,250
Invalid factor code: 250,2303890,PEPCO 816-12(BLUE) LO-FLO OCTABUBLR,4.5,250
Invalid factor code: 250,2301303,PEPCO 9633 BUBBLER,1.73,250
Invalid factor code: 250,25-2004,HUNTER AFB BUBBLER,2.5,250
Invalid factor code: 250,13420-390,RB XERISPRAY XS-090,0.6,250
Invalid factor code: 250,13420-127,SALCO PC6T-1,2.5,250
Invalid factor code: 250,13420-300,RB XERISPRAY XS-180,0.6,250
Invalid factor code: 250,22-1200,HUNTER PS-04-15A,1.55,250
Invalid factor code: 250,22-1240,HUNTER PS-04-17A,1.55,250
Invalid factor code: 250,22-1140,HUNTER PS-04-10F,1.55,250
Invalid factor code: 211,10-1121,RB 1812 SAM BODY (discontinued),11.25,211
Invalid factor code: 149,1694-105,LOBULARIA MARITIMA 5G,9.0,149
Invalid factor code: 146,13423-150,RB PFR-RS-12'' POLYFLEX RISER / STAKE,0.3,14
